,Sensor ID,DYL_PM2.5,EPA_PM2.5,EPA_PM10,EPA_RH,EPA_T,EPA_CO
2021-11-05 09:00:00 UTC,1,17.6,9.9,13.3,88,8,0.2
2021-11-05 10:00:00 UTC,1,11.8,8.2,13.3,79,9,0.2
2021-11-05 11:00:00 UTC,1,7.6,7,12.4,69,10,0.2
2021-11-05 12:00:00 UTC,1,5.8,6.3,12.8,60,11,0.2
2021-11-05 13:00:00 UTC,1,5.1,6.1,11.5,58,12,0.2
2021-11-05 14:00:00 UTC,1,4.8,6,10.5,57,12,0.2
2021-11-05 15:00:00 UTC,1,4.7,5.9,10.6,57,12,0.2
2021-11-05 16:00:00 UTC,1,5,5.8,10.7,63,11,0.2
2021-11-05 17:00:00 UTC,1,6.9,6,10.9,75,9,0.2
2021-11-05 18:00:00 UTC,1,8.6,6.6,11.2,85,8,0.2
2021-11-05 19:00:00 UTC,1,10.9,7.9,12,90,7,0.3
2021-11-05 20:00:00 UTC,1,13.5,8.8,14.8,97,7,0.3
2021-11-05 21:00:00 UTC,1,12.8,9.6,14.2,95,7,0.3
2021-11-05 22:00:00 UTC,1,12.7,9.7,14.3,97,7,0.2
2021-11-05 23:00:00 UTC,1,14.3,10.2,14.7,95,7,0.2
2021-11-06 00:00:00 UTC,1,16.5,10.4,14.3,93,7,0.2
2021-11-06 01:00:00 UTC,1,18.7,10.1,13.3,89,7,0.2
2021-11-06 02:00:00 UTC,1,16.9,9.4,12.7,85,7,0.1
2021-11-06 03:00:00 UTC,1,15.8,8.9,13.3,79,7,0.1
2021-11-06 04:00:00 UTC,1,14.8,7.9,11.5,78,6,0.1
2021-11-06 05:00:00 UTC,1,15.8,8.1,12,80,6,0.1
2021-11-06 06:00:00 UTC,1,14.4,7.4,11.7,77,6,0.1
2021-11-06 07:00:00 UTC,1,11.7,6.7,10.5,72,6,0.1
2021-11-06 08:00:00 UTC,1,10.7,6,10,67,7,0.1
2021-11-06 09:00:00 UTC,1,10.6,5.5,9.5,58,8,0.1
2021-11-06 10:00:00 UTC,1,9.1,5.7,11,53,9,0.1
2021-11-06 11:00:00 UTC,1,6.7,5.4,10.7,46,11,0.1
2021-11-06 12:00:00 UTC,1,5.1,5.2,10.7,39,13,0.1
2021-11-06 13:00:00 UTC,1,3.9,4.8,11.2,35,15,0.1
2021-11-06 14:00:00 UTC,1,3.9,5,9.6,40,15,0.1
2021-11-06 15:00:00 UTC,1,4.4,5.5,9.7,44,15,0.2
2021-11-06 16:00:00 UTC,1,5.4,6.2,10.4,57,13,0.2
2021-11-06 17:00:00 UTC,1,9.6,8,12.5,73,12,0.3
2021-11-06 18:00:00 UTC,1,15.8,10.4,15.4,85,10,0.3
2021-11-06 19:00:00 UTC,1,17,9.9,13.9,94,9,0.3
2021-11-06 20:00:00 UTC,1,18.1,10.5,15.3,97,8,0.3
2021-11-06 21:00:00 UTC,1,21.8,11.3,16.2,100,7,0.4
2021-11-06 22:00:00 UTC,1,25.2,12.7,18.8,100,6,0.5
2021-11-06 23:00:00 UTC,1,23.5,11.9,17.3,100,6,0.4
2021-11-07 00:00:00 UTC,1,24.5,12.4,17.2,100,5,0.4
2021-11-07 01:00:00 UTC,1,28.3,13.5,18.7,100,4,0.6
2021-11-07 02:00:00 UTC,1,30.9,14.1,19.1,100,4,0.5
2021-11-07 03:00:00 UTC,1,30.6,13.7,18.4,100,3,0.5
2021-11-07 04:00:00 UTC,1,30.5,13.3,17.7,100,2,0.5
2021-11-07 05:00:00 UTC,1,31.2,13.3,18,100,2,0.5
2021-11-07 06:00:00 UTC,1,28.2,12.5,17.6,100,2,0.5
2021-11-07 07:00:00 UTC,1,26.2,12,16.2,100,2,0.5
2021-11-07 08:00:00 UTC,1,25.2,11.8,17,99,5,
2021-11-07 09:00:00 UTC,1,18,10.5,15.8,81,10,
2021-11-07 10:00:00 UTC,1,7.3,7.3,12.1,56,13,0.2
2021-11-07 11:00:00 UTC,1,4.3,4.9,8.6,45,15,0.2
2021-11-07 12:00:00 UTC,1,3.7,4.8,9.5,40,17,0.2
2021-11-07 13:00:00 UTC,1,4.1,5.2,9.6,38,18,0.2
2021-11-07 14:00:00 UTC,1,4.2,5,9.4,32,19,0.2
2021-11-07 15:00:00 UTC,1,4.6,5.4,9.3,33,19,0.2
2021-11-07 16:00:00 UTC,1,6.3,6.3,10.5,37,17,0.2
2021-11-07 17:00:00 UTC,1,8,6.4,10.4,44,15,0.2
2021-11-07 18:00:00 UTC,1,11.4,7.2,12.8,72,11,0.4
2021-11-07 19:00:00 UTC,1,16.2,8.4,15,82,9,0.4
2021-11-07 20:00:00 UTC,1,20.3,9.4,16.7,89,8,0.5
2021-11-07 21:00:00 UTC,1,20.4,9.8,17.9,89,7,0.5
2021-11-07 22:00:00 UTC,1,12.8,6.4,11.8,74,8,0.3
2021-11-07 23:00:00 UTC,1,11.4,5.8,10.3,73,8,0.2
2021-10-06 00:00:00 UTC,2,14.7,7.8,23.5,100,21,
2021-10-06 01:00:00 UTC,2,13.5,7.1,22.4,100,20,
2021-10-06 02:00:00 UTC,2,13.8,6,19.1,100,21,
2021-10-06 03:00:00 UTC,2,13.8,6.7,21.1,100,20,
2021-10-06 04:00:00 UTC,2,14.9,6.6,20.1,100,20,
2021-10-06 05:00:00 UTC,2,15.2,6.4,19.5,100,20,
2021-10-06 06:00:00 UTC,2,14.6,5,13.9,100,20,
2021-10-06 07:00:00 UTC,2,15.5,4.8,13.9,100,20,
2021-10-06 08:00:00 UTC,2,16.6,5.2,13.5,100,21,
2021-10-06 09:00:00 UTC,2,15,4.7,10.7,100,22,0.2
2021-10-06 10:00:00 UTC,2,14,4.5,9.4,100,22,0.1
2021-10-06 11:00:00 UTC,2,13.1,3.9,7.8,99,23,0.1
2021-10-06 12:00:00 UTC,2,12.4,3.6,7.9,99,23,0.1
2021-10-06 13:00:00 UTC,2,12.4,3.2,6.8,100,23,0.1
2021-10-06 14:00:00 UTC,2,12.6,2.9,6.5,100,22,0.1
2021-10-06 15:00:00 UTC,2,11.8,3.7,8.7,97,23,0.1
2021-10-06 16:00:00 UTC,2,10.4,4.1,9.8,97,23,0.1
2021-10-06 17:00:00 UTC,2,11.2,4.3,9.8,100,22,0.1
2021-10-06 18:00:00 UTC,2,11.6,4.2,10.6,100,21,0.1
2021-10-06 19:00:00 UTC,2,11.5,4.5,12.6,100,21,0.1
2021-10-06 20:00:00 UTC,2,12.7,4.8,15.4,100,21,0.1
2021-10-06 21:00:00 UTC,2,12.8,4.9,15.2,100,21,0.1
2021-10-06 22:00:00 UTC,2,13.6,5.1,17.5,100,21,0.1
2021-10-06 23:00:00 UTC,2,14.6,5.8,20.3,100,21,0.1
2021-10-07 00:00:00 UTC,2,16,6.5,23.7,100,21,0.1
2021-10-07 01:00:00 UTC,2,17.7,7,24,100,21,0.1
2021-10-07 02:00:00 UTC,2,19.8,7.4,25,100,21,0.1
2021-10-07 03:00:00 UTC,2,22.8,8.3,26.9,100,21,0.1
2021-10-07 04:00:00 UTC,2,21.9,7.2,21.7,100,21,0.1
2021-10-07 05:00:00 UTC,2,19.7,7.1,25,100,21,0.1
2021-10-07 06:00:00 UTC,2,18,5.9,19.7,100,21,0.1
2021-10-07 07:00:00 UTC,2,17.3,6.6,24.4,100,21,0.1
2021-10-07 08:00:00 UTC,2,15.5,4.7,11.3,100,22,0.1
2021-10-07 09:00:00 UTC,2,14.7,4.5,9.3,99,23,0.1
2021-10-07 10:00:00 UTC,2,13.4,4.5,8.6,96,24,0.1
2021-10-07 11:00:00 UTC,2,12.2,4.3,8.4,95,24,0.1
2021-10-07 12:00:00 UTC,2,11,4.2,8.4,88,25,0.1
2021-10-07 13:00:00 UTC,2,10.5,4.4,8.4,92,25,0.1
2021-10-07 14:00:00 UTC,2,12.2,4.8,9.8,100,23,0.1
2021-10-07 15:00:00 UTC,2,15.6,5.4,12.9,100,23,0.1
2021-10-07 16:00:00 UTC,2,12.2,4.8,10.1,100,24,0.1
2021-10-07 17:00:00 UTC,2,9.5,5.2,12.8,100,23,0
2021-10-07 18:00:00 UTC,2,8.1,4.6,15.6,100,22,0
2021-10-07 19:00:00 UTC,2,8.4,5.5,19.5,100,22,0.1
2021-10-07 20:00:00 UTC,2,9.5,5.6,20.3,100,21,0.1
2021-10-07 21:00:00 UTC,2,9.5,6.3,24,100,21,0.1
2021-10-07 22:00:00 UTC,2,8.6,6.3,25.7,100,21,0
2021-10-07 23:00:00 UTC,2,8.5,6.5,25.3,100,21,0
2021-10-08 00:00:00 UTC,2,7.3,6.7,29.3,100,21,0
2021-10-08 01:00:00 UTC,2,6.1,5.8,22.3,100,21,0
2021-10-08 02:00:00 UTC,2,5.2,6,24.9,100,21,0
2021-10-08 03:00:00 UTC,2,6.8,6.7,30.6,100,21,0
2021-10-08 04:00:00 UTC,2,8.8,7.3,35.1,100,21,0.1
2021-10-08 05:00:00 UTC,2,10.3,6.3,29.5,100,20,0.1
2021-10-08 06:00:00 UTC,2,11,5.9,22.7,100,20,0.1
2021-10-08 07:00:00 UTC,2,12.1,5.3,23.3,100,20,0.1
2021-10-08 08:00:00 UTC,2,12.8,4.4,16.3,100,21,0.2
2021-10-08 09:00:00 UTC,2,11.4,4.3,10.8,95,23,0.1
2021-10-08 10:00:00 UTC,2,8,4.4,9,84,25,0.1
2021-10-08 11:00:00 UTC,2,5.3,5.1,9.5,75,26,0
2021-10-08 12:00:00 UTC,2,4.7,5.6,11.8,67,27,0.1
2021-10-08 13:00:00 UTC,2,4.5,6.4,11.5,62,27,0.1
2021-10-08 14:00:00 UTC,2,3.8,6.5,11.7,58,28,0.1
2021-10-08 15:00:00 UTC,2,3.9,7.2,13.4,59,27,0.1
2021-10-08 16:00:00 UTC,2,3.7,6.8,13.6,66,26,0.1
2021-10-08 17:00:00 UTC,2,6,7.1,13.6,78,23,0.1
2021-10-08 18:00:00 UTC,2,7.5,7.4,14,93,21,0.2
2021-10-08 19:00:00 UTC,2,9.4,8.6,19.4,100,20,0.3
2021-10-08 20:00:00 UTC,2,10.3,9.2,23.1,100,19,0.3
2021-10-08 21:00:00 UTC,2,11,9.9,24.4,100,19,0.3
2021-10-08 22:00:00 UTC,2,11.4,10,25.2,100,18,0.4
2021-10-08 23:00:00 UTC,2,10.2,9.7,26.6,100,18,0.4
2021-10-09 00:00:00 UTC,2,9.3,9,24.7,100,18,0.4
2021-10-09 01:00:00 UTC,2,7.3,8.5,25.4,100,17,0.3
2021-10-09 02:00:00 UTC,2,5.6,7.5,23.8,100,18,0.1
2021-10-09 03:00:00 UTC,2,4.9,6.2,20.1,100,18,0.1
2021-10-09 04:00:00 UTC,2,4.4,6.6,23.9,100,18,0.1
2021-10-09 05:00:00 UTC,2,4.7,5.5,18,100,18,0.1
2021-10-09 06:00:00 UTC,2,5.7,5.3,13.2,100,18,0
2021-10-09 07:00:00 UTC,2,6.8,5.1,14,100,18,0.1
2021-10-09 08:00:00 UTC,2,8,5,11.5,100,20,0.1
2021-10-09 09:00:00 UTC,2,3.9,4.5,9,91,22,0.1
2021-10-09 10:00:00 UTC,2,3.6,5.2,9.9,80,24,0
2021-10-09 11:00:00 UTC,2,3.4,6.1,12.7,69,26,0
2021-10-09 12:00:00 UTC,2,3,6.4,12.9,62,27,0
2021-10-09 13:00:00 UTC,2,3.4,7,14.9,61,27,0
2021-10-09 14:00:00 UTC,2,3.8,7.2,13.1,62,27,0
2021-10-09 15:00:00 UTC,2,3.7,7.6,14.1,58,27,0
2021-10-09 16:00:00 UTC,2,4.9,7.6,14.3,68,25,0.1
2021-10-09 17:00:00 UTC,2,6.5,7.7,13.4,85,23,0.1
2021-10-09 18:00:00 UTC,2,7.3,7.9,14.7,100,21,0.1
2021-10-09 19:00:00 UTC,2,9.9,9.3,20.2,100,20,0.3
2021-10-09 20:00:00 UTC,2,11.8,10.3,20.8,100,19,0.4
2021-10-09 21:00:00 UTC,2,14.3,11.5,22.7,100,19,0.6
2021-10-09 22:00:00 UTC,2,15.9,11.9,26.5,100,18,0.6
2021-10-09 23:00:00 UTC,2,15.6,12.1,24.7,100,18,0.7
2021-10-10 00:00:00 UTC,2,15.3,12.4,26.7,100,18,0.6
2021-10-10 01:00:00 UTC,2,16.6,12.3,25.3,100,18,0.7
2021-10-10 02:00:00 UTC,2,15.1,12.5,29.2,100,17,0.6
2021-10-10 03:00:00 UTC,2,12.5,10.8,23.5,100,17,0.4
2021-10-10 04:00:00 UTC,2,10.2,8.8,17.9,100,17,0.2
2021-10-10 05:00:00 UTC,2,8.4,7.4,15.3,100,17,0
2021-10-10 06:00:00 UTC,2,8.7,7.9,17.4,100,16,0
2021-10-10 07:00:00 UTC,2,8.4,7.3,15,100,16,0
2021-10-10 08:00:00 UTC,2,6.9,5.8,10.5,100,18,
2021-10-10 09:00:00 UTC,2,3.1,4.3,8.6,92,21,-0.1
2021-10-10 10:00:00 UTC,2,2.6,4.4,9.1,82,23,0
2021-10-10 11:00:00 UTC,2,2.7,4.7,9.3,77,24,0
2021-10-10 12:00:00 UTC,2,2.6,5.1,10,73,25,0
2021-10-10 13:00:00 UTC,2,2.8,5.6,10.3,67,26,0
2021-10-10 14:00:00 UTC,2,2.8,6.2,12.2,60,27,0
2021-10-10 15:00:00 UTC,2,3.1,6.6,12.7,58,27,0
2021-10-10 16:00:00 UTC,2,3.2,6.8,12.5,62,26,0
2021-10-10 17:00:00 UTC,2,4.4,6.7,12.3,76,23,0
2021-10-10 18:00:00 UTC,2,5.8,7.2,14.3,95,21,0
2021-10-10 19:00:00 UTC,2,8.3,8.5,16.3,100,19,0.1
2021-10-10 20:00:00 UTC,2,10.6,9,17.2,100,18,0.2
2021-10-10 21:00:00 UTC,2,11.6,10,21.1,100,18,0.5
2021-10-10 22:00:00 UTC,2,11.8,10.5,22.6,100,17,0.6
2021-10-10 23:00:00 UTC,2,13.1,11.2,23.9,100,17,0.8
2021-10-11 00:00:00 UTC,2,14.6,11.7,24.7,100,16,0.8
2021-10-11 01:00:00 UTC,2,14.7,11.9,23.3,100,16,0.8
2021-10-11 02:00:00 UTC,2,14.5,11.7,22.8,100,15,0.7
2021-10-11 03:00:00 UTC,2,14.7,11.5,24.3,100,15,0.7
2021-10-11 04:00:00 UTC,2,14.7,11.6,24.9,100,15,0.6
2021-10-11 05:00:00 UTC,2,14,11.2,21.9,100,15,0.5
2021-10-11 06:00:00 UTC,2,13.1,10.5,21.8,100,15,0.5
2021-10-11 07:00:00 UTC,2,12.8,10.4,21.8,100,15,0.5
2021-10-11 08:00:00 UTC,2,8.5,7.7,16.4,100,19,0.2
2021-10-11 09:00:00 UTC,2,6,6.7,16,97,21,0
2021-10-11 10:00:00 UTC,2,4.8,6,12.7,87,23,0
2021-10-11 11:00:00 UTC,2,5.3,6.6,14.1,82,23,0
2021-10-11 12:00:00 UTC,2,4.5,5.7,12.2,76,24,-0.1
2021-10-11 13:00:00 UTC,2,4.6,5.5,11.6,74,24,-0.1
2021-10-11 14:00:00 UTC,2,4.5,5.4,10.9,70,25,-0.1
2021-10-11 15:00:00 UTC,2,4.6,5.3,12,72,25,-0.1
2021-10-11 16:00:00 UTC,2,4.8,5.5,11.5,81,24,-0.1
2021-10-11 17:00:00 UTC,2,4.6,5.5,12,90,22,-0.1
2021-10-11 18:00:00 UTC,2,5.8,6.2,15.4,98,21,0
2021-10-11 19:00:00 UTC,2,7.2,7.1,15,100,19,0
2021-10-11 20:00:00 UTC,2,7.2,7.8,17.6,100,19,0
2021-10-11 21:00:00 UTC,2,16.1,10.8,22.3,100,18,0
2021-10-11 22:00:00 UTC,2,11.6,9.6,21.3,100,18,0
2021-10-11 23:00:00 UTC,2,7.9,7.9,16.8,100,19,0
2021-10-12 00:00:00 UTC,2,8.9,8.6,16.7,100,19,-0.1
2021-10-12 01:00:00 UTC,2,9.2,9.2,19.8,100,19,-0.1
2021-10-12 02:00:00 UTC,2,9.2,9,16.2,100,19,-0.1
2021-10-12 03:00:00 UTC,2,9.9,9.7,17,100,18,-0.1
2021-10-12 04:00:00 UTC,2,10.9,10,17.6,100,18,0
2021-10-12 05:00:00 UTC,2,12.2,9.9,17.4,100,18,-0.1
2021-10-12 06:00:00 UTC,2,17.1,10.1,16.5,100,18,-0.1
2021-10-12 07:00:00 UTC,2,19.9,10.2,16.6,100,18,0
2021-10-12 08:00:00 UTC,2,17.3,9.9,16.3,100,19,0
2021-10-12 09:00:00 UTC,2,16.2,10.3,17.2,99,20,0
2021-10-12 10:00:00 UTC,2,10.5,9.9,17.3,91,21,0
2021-10-12 11:00:00 UTC,2,6.8,8.6,16.5,81,23,
2021-10-12 12:00:00 UTC,2,6.6,8.4,16.4,78,24,
2021-10-12 13:00:00 UTC,2,6.3,8.3,15.4,77,25,0.2
2021-10-12 14:00:00 UTC,2,7.1,8.8,18.4,79,25,0.2
2021-10-12 15:00:00 UTC,2,7.7,9.2,22.1,81,24,0.2
2021-10-12 16:00:00 UTC,2,8,9.1,18.8,88,24,0.2
2021-10-12 17:00:00 UTC,2,8.8,9.6,18.8,97,22,0.3
2021-10-12 18:00:00 UTC,2,12.8,10.6,19.4,100,21,0.5
2021-10-12 19:00:00 UTC,2,14.5,11.2,21.8,100,20,0.5
2021-10-12 20:00:00 UTC,2,16.9,12.1,23.7,100,19,0.6
2021-10-12 21:00:00 UTC,2,16.1,12.2,24.6,100,19,0.7
2021-10-12 22:00:00 UTC,2,16.1,12.8,24.7,100,18,0.8
2021-10-12 23:00:00 UTC,2,16.7,12.6,25.2,100,18,0.8
2021-10-13 00:00:00 UTC,2,19.1,13.2,26.8,100,17,0.7
2021-10-13 01:00:00 UTC,2,21.9,13.6,27.6,100,17,0.8
2021-10-13 02:00:00 UTC,2,21.7,13.3,26.6,100,16,0.8
2021-10-13 03:00:00 UTC,2,21.4,13.7,27.4,100,16,0.7
2021-10-13 04:00:00 UTC,2,22.1,13.6,26.5,100,16,0.7
2021-10-13 05:00:00 UTC,2,22.3,13.8,27.6,100,15,0.8
2021-10-13 06:00:00 UTC,2,23.3,14.4,28.2,100,15,0.8
2021-10-13 07:00:00 UTC,2,23.6,13.9,28.4,100,16,0.9
2021-10-13 08:00:00 UTC,2,25.9,13.5,27.4,100,18,1
2021-10-13 09:00:00 UTC,2,20,11.4,21.3,99,21,0.5
2021-10-13 10:00:00 UTC,2,10.5,10.6,18.5,86,24,0.3
2021-10-13 11:00:00 UTC,2,8.4,10.4,17.3,81,25,0.2
2021-10-13 12:00:00 UTC,2,7.8,10.2,19.1,75,26,0.2
2021-10-13 13:00:00 UTC,2,6.2,9.4,17.8,65,27,0.2
2021-10-13 14:00:00 UTC,2,5.5,9,16,59,28,0.2
2021-10-13 15:00:00 UTC,2,5.5,8.9,15.1,62,27,0.2
2021-10-13 16:00:00 UTC,2,4.7,8.5,16.4,67,26,0.2
2021-10-13 17:00:00 UTC,2,6.3,9,15.8,81,24,0.2
2021-10-13 18:00:00 UTC,2,7.7,9.9,19.5,94,21,0.2
2021-10-13 19:00:00 UTC,2,10.6,10.8,21.2,100,20,0.3
2021-10-13 20:00:00 UTC,2,13.5,12.5,27.5,100,19,0.4
2021-10-13 21:00:00 UTC,2,14.4,12.6,29.6,100,19,0.4
2021-10-13 22:00:00 UTC,2,15.6,13,26,100,18,0.6
2021-10-13 23:00:00 UTC,2,16.8,13.2,25.7,100,18,0.7
2021-10-14 00:00:00 UTC,2,19.3,14.6,27.6,100,17,0.7
2021-10-14 01:00:00 UTC,2,18.5,14.7,26.4,100,17,0.5
2021-10-14 02:00:00 UTC,2,18.3,14.8,27.5,100,17,0.6
2021-10-14 03:00:00 UTC,2,18,14.3,27.6,100,16,0.6
2021-10-14 04:00:00 UTC,2,17.8,14,26.6,100,16,0.6
2021-10-14 05:00:00 UTC,2,18.7,13.8,25.1,100,16,0.7
2021-10-14 06:00:00 UTC,2,20.8,14.3,25.9,100,15,0.8
2021-10-14 07:00:00 UTC,2,21.6,14.8,27.5,100,16,0.8
2021-10-14 08:00:00 UTC,2,18.3,13.8,29,100,19,1.1
2021-10-14 09:00:00 UTC,2,12.5,11.5,26.4,91,23,0.6
2021-10-14 10:00:00 UTC,2,8.6,10.8,25.6,78,24,0.3
2021-10-14 11:00:00 UTC,2,7.9,11.2,24.1,71,26,0.3
2021-10-14 12:00:00 UTC,2,5.2,9.7,21.5,63,27,0.2
2021-10-14 13:00:00 UTC,2,4.7,10,22.8,61,27,0.2
2021-10-14 14:00:00 UTC,2,5.2,10.9,22.3,60,28,0.2
2021-10-14 15:00:00 UTC,2,5.3,11.2,23.9,63,27,0.2
2021-10-14 16:00:00 UTC,2,5.5,11.3,21,70,26,0.2
2021-10-14 17:00:00 UTC,2,7.6,11.2,22.5,88,24,0.2
2021-10-14 18:00:00 UTC,2,15,22.1,31.8,96,22,0.3
2021-10-14 19:00:00 UTC,2,17.2,18.1,29.4,100,21,0.3
2021-10-14 20:00:00 UTC,2,15.9,16.6,27.7,100,20,0.3
2021-10-14 21:00:00 UTC,2,17.5,15.2,24.4,100,19,0.3
2021-10-14 22:00:00 UTC,2,19.1,16.4,27.3,100,19,0.5
2021-10-14 23:00:00 UTC,2,21.4,17.6,30,100,18,0.6
2021-10-15 00:00:00 UTC,2,20.2,17.4,30.6,100,18,0.6
2021-10-15 01:00:00 UTC,2,21.6,18.2,31.4,100,17,0.6
2021-10-15 02:00:00 UTC,2,20.7,17.2,30.3,100,17,0.6
2021-10-15 03:00:00 UTC,2,22.2,18.1,31.5,100,16,0.6
2021-10-15 04:00:00 UTC,2,23.8,17.9,30.6,100,16,0.7
2021-10-15 05:00:00 UTC,2,26.2,18.7,32.9,100,15,0.7
2021-10-15 06:00:00 UTC,2,26.8,19.4,33.4,100,15,0.8
2021-10-15 07:00:00 UTC,2,24.1,18.5,33.2,100,15,0.8
2021-10-15 08:00:00 UTC,2,24,16.8,29,100,18,0.8
2021-10-15 09:00:00 UTC,2,13.8,14.1,34.3,90,23,0.6
2021-10-15 10:00:00 UTC,2,7,11.8,28.1,74,25,0.3
2021-10-15 11:00:00 UTC,2,5.5,11.9,22,68,26,0.2
2021-10-15 12:00:00 UTC,2,3.9,10.7,18.9,61,27,0.2
2021-10-15 13:00:00 UTC,2,3.4,9.9,18,57,28,0.2
2021-10-15 14:00:00 UTC,2,3.2,9.9,18.3,56,28,0.2
2021-10-15 15:00:00 UTC,2,3,9.6,17.9,56,29,0.2
2021-10-15 16:00:00 UTC,2,3.3,9.5,17.9,65,27,0.2
2021-10-15 17:00:00 UTC,2,5.7,9.7,19.7,84,24,0.2
2021-10-15 18:00:00 UTC,2,7.8,11.1,22.6,97,22,0.2
2021-10-15 19:00:00 UTC,2,9.2,12.6,24,100,21,0.3
2021-10-15 20:00:00 UTC,2,10.9,13.8,26.8,100,20,0.3
2021-10-15 21:00:00 UTC,2,11.9,14.4,25.6,100,20,0.4
2021-10-15 22:00:00 UTC,2,14.3,15.8,28.6,100,19,0.6
2021-10-15 23:00:00 UTC,2,17.7,16.2,28.9,100,18,0.8
2021-10-16 00:00:00 UTC,2,18,15.7,27.9,100,18,0.7
2021-10-16 01:00:00 UTC,2,18.9,16.2,28.9,100,18,0.6
2021-10-16 02:00:00 UTC,2,16.6,15.5,26.5,100,17,0.6
2021-10-16 03:00:00 UTC,2,15,15.2,26.6,100,17,0.5
2021-10-16 04:00:00 UTC,2,14.5,15,26.9,100,17,0.5
2021-10-16 05:00:00 UTC,2,14.4,14.8,26.8,100,17,0.4
2021-10-16 06:00:00 UTC,2,13.1,13.3,23.1,100,19,0.3
2021-10-16 07:00:00 UTC,2,10,10.8,16.8,100,20,0.2
2021-10-16 08:00:00 UTC,2,6.6,6.9,12.1,98,21,0.1
2021-10-16 09:00:00 UTC,2,2.9,4.3,16.2,90,21,0.1
2021-10-16 10:00:00 UTC,2,2.3,4.5,15.3,91,18,0.1
2021-10-16 11:00:00 UTC,2,2.9,4.3,12.3,82,19,0.1
2021-10-16 12:00:00 UTC,2,2.4,4.4,15.6,63,21,0.1
2021-10-16 13:00:00 UTC,2,1.9,4.7,15.5,57,21,0.1
2021-10-16 14:00:00 UTC,2,1.7,4.4,15.1,52,21,0.1
2021-10-16 15:00:00 UTC,2,1.7,4.4,14,48,20,0.1
2021-10-16 16:00:00 UTC,2,1.7,4.4,14.3,46,19,0.1
2021-10-16 17:00:00 UTC,2,2,4.2,13.8,50,17,0.1
2021-10-16 18:00:00 UTC,2,2.3,4.1,12.9,52,16,0.1
2021-10-16 19:00:00 UTC,2,3,4.5,11.4,61,14,0.2
2021-10-16 20:00:00 UTC,2,3.2,4.5,11.7,59,14,0.1
2021-10-16 21:00:00 UTC,2,3.1,4.4,10.2,64,13,0.1
2021-10-16 22:00:00 UTC,2,3.1,4.5,10.9,68,12,0.1
2021-10-16 23:00:00 UTC,2,3.1,4.5,11.1,73,11,0.1
2021-10-17 00:00:00 UTC,2,3.2,4.7,12.2,79,10,0.2
2021-10-17 01:00:00 UTC,2,3.3,4.8,11.7,83,9,0.1
2021-10-17 02:00:00 UTC,2,3.6,4.8,11.8,86,9,0.2
2021-10-17 03:00:00 UTC,2,3.9,4.9,11.6,91,9,0.2
2021-10-17 04:00:00 UTC,2,4.1,4.9,11.6,95,8,0.2
2021-10-17 05:00:00 UTC,2,4.3,4.9,10.7,98,7,0.2
2021-10-17 06:00:00 UTC,2,4.6,5.1,11.6,99,7,0.2
2021-10-17 07:00:00 UTC,2,4.3,5,12.2,99,8,0.2
2021-10-17 08:00:00 UTC,2,3.7,4.9,12.3,80,11,
2021-10-17 09:00:00 UTC,2,2.2,4.2,11.6,60,14,0.1
2021-10-17 10:00:00 UTC,2,1.8,3.8,11.5,50,16,0.1
2021-10-17 11:00:00 UTC,2,1.6,3.6,9.6,42,18,0.1
2021-10-17 12:00:00 UTC,2,1.7,4,9.8,41,19,0.1
2021-10-17 13:00:00 UTC,2,1.7,4.1,10.3,40,19,0.1
2021-10-17 14:00:00 UTC,2,1.8,4.2,10.4,39,20,0.1
2021-10-17 15:00:00 UTC,2,1.8,4.2,10.5,41,20,0.1
2021-10-17 16:00:00 UTC,2,2,4.1,10.9,45,18,0.2
2021-10-17 17:00:00 UTC,2,3.2,4.6,11.8,52,16,0.2
2021-10-17 18:00:00 UTC,2,3.5,4.8,12.1,60,14,0.2
2021-10-17 19:00:00 UTC,2,4,5,13.2,67,13,0.2
2021-10-17 20:00:00 UTC,2,4.2,5.2,12,73,12,0.2
2021-10-17 21:00:00 UTC,2,4.1,5.1,12.7,79,11,0.2
2021-10-17 22:00:00 UTC,2,4.3,5.1,11.2,88,10,0.2
2021-10-17 23:00:00 UTC,2,5.1,5.5,13.1,89,9,0.2
2021-10-18 00:00:00 UTC,2,5.7,5.5,12.1,98,8,0.3
2021-10-18 01:00:00 UTC,2,5.9,5.4,11.8,99,7,0.2
2021-10-18 02:00:00 UTC,2,5.9,5.3,12,100,7,0.3
2021-10-18 03:00:00 UTC,2,5.4,5,10.5,100,6,0.2
2021-10-18 04:00:00 UTC,2,5.2,4.9,10.4,100,6,0.2
2021-10-18 05:00:00 UTC,2,5.5,4.7,10.3,100,5,0.2
2021-10-18 06:00:00 UTC,2,6.5,5.1,10.2,100,5,0.3
2021-10-18 07:00:00 UTC,2,6.8,5.4,12,100,6,0.3
2021-10-18 08:00:00 UTC,2,8.8,5.9,13.7,98,9,0.6
2021-10-18 09:00:00 UTC,2,4,5,15.5,67,15,0.3
2021-10-18 10:00:00 UTC,2,2.3,4.4,17.4,49,18,0.1
2021-10-18 11:00:00 UTC,2,2.3,4.4,14.7,44,19,0.1
2021-10-18 12:00:00 UTC,2,2.4,4.7,17.7,42,20,0.1
2021-10-18 13:00:00 UTC,2,2.2,4.6,15.3,39,21,0.1
